,Question_Links,Views,Upvotes,Spaces,Questions,Answers
69,https://www.quora.com/How-do-we-study-artificial-intelligence-in-Germany-When-should-we-apply-for-it-after-12th-or-do-we-have-to-study-a-BTech-in-AI-India/answer/Kamal-Raj-17,54,–,www.quora.com,How-do-we-study-artificial-intelligence-in-Germany-When-should-we-apply-for-it-after-12th-or-do-we-have-to-study-a-BTech-in-AI-India,"At this age, you don't study AI. You live it.
Everything around can help you to learn AI. Whether it is picture you see, the words you read or the sounds you hear, every thing can be used to learn AI. And you don't need to go to Germany for learning AI. Sit at your home and learn the following.
Python and Javascript (You can learn C++ too)
Work on problem solving (Real world is full of problems, but to learn problem solving. you need to spend time with toy prblems first, theo imagin how the problems can be seen real world)
Discipline and Energetic mindset.(This is cultnvated by regularly doing things and activities that are difficult to you)
Mathematics(The language of this universe has to be learned and visualised. Spend your evenings with hot chocnate and good math book)
Lots of good Sci fiction. The ideas of many science fiction books have been made a reality. In fact AI was spoken by authors before the scentists came up with math and tech for AI.
Work on seeing the world as data. This is really an ability. The more you can think about the world as data, the more you can find interesting problems to solve. Whether a website or a mobile app, it is data. The code is also data. The infrastructure is also data.
Database and distributed computing. This will be an important technology to hold the data and process it.
Creativity like doodling and drawing the real world that you see. The urge in every kid to draw on the walls around the world is there for a reason. Our ancestors drew on the walls to communicate. Today we write updates on Facebook wall. How fundamental."
70,https://www.quora.com/In-which-situation-do-we-use-a-box-plot/answer/Kamal-Raj-17,11,–,www.quora.com,In-which-situation-do-we-use-a-box-plot,"

"
71,https://www.quora.com/What-is-the-most-vulnerable-programming-language/answer/Kamal-Raj-17,21,–,www.quora.com,What-is-the-most-vulnerable-programming-language,"Natural Language is the most vulnerable programming Language.
The Logic is most important in programming. Every day the managers and leaders work in programming their followers to achieve the shared goals. We see that there are many places where the communication breaks and then goals are not reached.
Companies and Organisation have failed because the natural language is vulnerable."
72,https://www.quora.com/Can-machines-itself-generate-algorithms/answer/Kamal-Raj-17,7,–,www.quora.com,Can-machines-itself-generate-algorithms,"Yes. It can generate its own algorithms. The algorithms that are famous for this is called Reinforced Learning algorithms.
There are many companies specialising in this kind of algorithms. Recent developments have seen algorithms that can write code by looking at a problem statement."
73,https://www.quora.com/My-girlfriend-is-admiring-someone-else-How-can-I-win-her-back/answer/Kamal-Raj-17,15,–,www.quora.com,My-girlfriend-is-admiring-someone-else-How-can-I-win-her-back,"Do you have confidence to be her friend even if she is admiring someone else? If yes then, why lose a friend. Dust yourself and get ready for someone more worthy of your love.
If she is admiring someone else then you too start admiring someone else. Go get a hobby for yourself and self improve. Slowly reduce the time you spend with her, and thinking about her. Just become her friend. If she wants to spend time with you then think about your priorities first and then give her time.
Remember time spent today means, you are going to spend more to buy it from others tomorrow
This strategy can help you avoid unwanted heartache and headache by being the first to dump her. The ensuing drama is not worth your time. Have a great time. You deserve it."
74,https://www.quora.com/My-girlfriend-has-told-me-she-is-in-love-with-her-best-friend-Her-best-friend-lives-far-away-and-doesn-t-see-her-like-that-What-do-I-do-My-girlfriend-said-she-still-wants-to-be-with-me/answer/Kamal-Raj-17,19,–,www.quora.com,My-girlfriend-has-told-me-she-is-in-love-with-her-best-friend-Her-best-friend-lives-far-away-and-doesn-t-see-her-like-that-What-do-I-do-My-girlfriend-said-she-still-wants-to-be-with-me,"You have to DECIDE what you want in life.
Be very clear with your decision, then questions related to relationships are very easy to answer.
Your girlfriend here seems to be confusing you by saying, “be with you”. This is usually what friends say to each other. The friends like each other’s company. But do want to “live” their lives together.
If you really love her then, it is better to clarify what she really means and get ready to move on. Don't waste time and there is lot more to do in life than to be confused. You may regret the time you lost by not deciding soon.
Have a great time."
75,https://www.quora.com/I-have-1-year-of-experience-in-the-mining-field-Can-I-get-a-data-analyst-job-after-a-data-science-course/answer/Kamal-Raj-17,31,–,www.quora.com,I-have-1-year-of-experience-in-the-mining-field-Can-I-get-a-data-analyst-job-after-a-data-science-course,"Data Science is about numbers and converting those numbers into predictions using the models. Being a Data Miner there are other feilds like Data Engineer and Data Modeler. Thinking about only data science is like going to tutorial college to learn a craft.
Data science can be used in any place where you can get the data and have annotated easily.
one year of experience would be acceptable for becoming a data engineer, for data science you need to be profecient in many modeling techniques too. So take the course on data science. Do lot of projects in free time and then prepare yourself to use the DS skill in real world,and share to those interviewing you.
All the very best."
76,https://www.quora.com/Which-books-will-make-me-fall-in-love-with-reading/answer/Kamal-Raj-17,39,–,www.quora.com,Which-books-will-make-me-fall-in-love-with-reading,"When I first fell in love with reading, the book was Fredrick Foresysth´s The day of Jackal. I loved the way the book takes you to places that you can not imagine going to. I read 5 book from this author after that. I became a voracious Reader from that point.
The next book that pulled me was Dan Brown´s Angels and demons. Something spell binding in the way Dan uses the words to describe the places, plots, people and situation. His books transport you to a different Realm of the story.
My love for fiction was at the top when I read Sherlock Holmes by AC Doyle. ACD’s books are about the plots, the logic and the use of human brain to its peak ability. Sherlock is a person who is based on once living doctor.
Then comes the giants of Sci fi. Issac asimov, Arthur C clarke and Neal stephenson books. Their works mix, places, logic, Sci Fi know how, math, artificial intelligenc, culture and bring out a very nuanced experience that can be enjoyed only by reading them. These three authors can make you to fall in love with reading very easily.
Walter issacson has written biography of many notable founders. The probing narrative that he weaves around the lives of his subjects can bring them alive in your imagination.
Brian Tracy has some good self help books that you want to learn on self improvement. Countless Dale carnegie books too can make you read and at the same time improve.
Try the books. There is a saying that book chooses you. In that sense Robert green’s collection of books are a present as hard copies in my library. If you are ever curious about human nature then his books will give you a very in depth research which is vrey much readable.
There is Charles Dickens, Ian flemmig, Roald dahl and Rudyard kipling. Their books are introduced to children so they can get interested in reading. Try their works if yoo are inclined about enjoyable reads.
Have a great time reading the 14 greats in writing who changed the way many like me look at the world today."
78,https://www.quora.com/profile/Kamal-Raj-17/https-clcoding-quora-com-10-coding-truth,5,–,www.quora.com,profile,
80,https://www.quora.com/Do-I-need-to-have-a-prior-knowledge-of-data-analysis-before-I-can-learn-machine-learning-for-web-applications/answer/Kamal-Raj-17,32,–,www.quora.com,Do-I-need-to-have-a-prior-knowledge-of-data-analysis-before-I-can-learn-machine-learning-for-web-applications,"Machine learning is a fascinating subject that involves not just data, ananlysis, or web applications. It encapsulates the entire world you live in today. The world did not change, the way information flowed, changed drastically. The population of humans increased as info flowed freely.
What to do with all this information flowing all across the world? Much of the info couldn't be stored in digital format cheaply even in late 2010. The turning point ocurred when the technology to commoditize the hard disk and processors where born.
From then the information started flowing faster and became cheaper to save. This cheaper data storage means, a lot of data which previously considered useless got saved somewhere, and that too cheaply and reliably.
Why am I telling the story of information when the question is about Machine Learning?
ML distills the informtion into actionable insights that can be used to make predictions about the future. Data analysis helps to see what the ML is doing visually. Data analysis is used for many generic tasks too, but when you use it with ML, the power to understand the ML model increases.
With all the info available, it is important that any one thinking about ML must be ready to work with lot of data and fluently move between the various data streams using the programming.
Why learning Data Structures and Algorithm is important, but not really a show stopper?
The data in real world is messy. If you want to access it,then you need to solve the problem. There comes the DS and Algo. It is not a show stopper because most of the extractions you have to do can be learned thru google, cookbooks and pair programming friends.
Being passionate about manipulating the data, thinking about using one data to find the patterns, and being eager to play with the data can hugely benefit your endeavour in to data feild. Have a great time."
82,https://www.quora.com/What-areas-of-artificial-intelligence-are-being-implemented-in-the-diagnosis-of-respiratory-infections/answer/Kamal-Raj-17,8,–,www.quora.com,What-areas-of-artificial-intelligence-are-being-implemented-in-the-diagnosis-of-respiratory-infections,"Two areas comes to my mind immediately. Timeseries analysis of the respiration, and computer vision analysis for checking the Xray of the Lungs and Chest.
The computer vision heuristics and deep learning algo can effectively classify whether the patient is having Covid or not. The same idea is also used in detecting melanoma mutation in the Skin.
The tools are used effectively reduce the manual work involved in identifying the presence of disease using the photographs. In case of cancer the clinician has to sit on microscope and check very throughly. That takes lot of time and human energy.
More research is on going."
83,https://www.quora.com/Can-I-learn-blockchain-technology-if-I-am-from-mechanical/answer/Kamal-Raj-17,152,–,www.quora.com,Can-I-learn-blockchain-technology-if-I-am-from-mechanical,"Tech of Blockchain has multiple streams. Token engineering, Smart contracts programming, and Blockchain development itself.
Learning the tech is not difficult for anybody. The challenge is implementing it in a projeect or real application.
There are many options where you can learn to implement the things you learn. Ensure you have good knowledge of python, linux, server side tech, and good grasp on data structures. These are important since the industry is in transition stage, so they seek experienced people.
Not just getting certified. Even the certificate may help, but you need to have the curiosity to learn in detail about the particular area in Blockchain.
All the very best."
85,https://www.quora.com/If-I-want-to-create-an-AI-like-Jarvis-what-should-I-learn/answer/Kamal-Raj-17,175,–,www.quora.com,If-I-want-to-create-an-AI-like-Jarvis-what-should-I-learn,"Get ready to play a lot of games. And teach computers how to learn.
Tony stark makes it look simple to build the AI JARVIS in the movie. No sweating no learning, but lot of playing around and flying in drones. That is exactly what you need to do.
When you play video games, you will learn a lot of concepts and ideas to imagine how to solve AI challenges. The more you can visualise, and try new ideas, the solution will arise. In videogames you can try a lot of time to solve a level or stage.
You have to learn programming and problem solving too. Learning it thru gamified platform like leetcode, hackerrank will give you lot of confidence and you can see others solving the problems bettter than you, and get inspired or get charged to beat them.
Logic and probability. AI is extremely logical and involves stochastic probability. These may sound difficult, the trick is in solving many problems so these concepts become second nature to your left and right brain. The sync of left and the right brain is trainable. Takes a considerable time when you become old. When you are young the time spent on TV and watching television has to be used for this.
Friends. The final important point is to have friends who are smarter and kind enough to take you along with them. If not physical friends then find good books that have authors who are passionate hackers and who teach.
AI is required for a world that is becoming complex everyday. Every ounce of effort counts. All the very best."
86,https://www.quora.com/Im-still-really-attached-to-my-ex-and-only-cared-about-her-Now-I-feel-like-nothing-is-good-for-me-Whats-some-advice-or-tips-to-overcome-this-feeling/answer/Kamal-Raj-17,11,1,www.quora.com,Im-still-really-attached-to-my-ex-and-only-cared-about-her-Now-I-feel-like-nothing-is-good-for-me-Whats-some-advice-or-tips-to-overcome-this-feeling,"Go to any public places like a bus stand, a railway station or even a temple. Look at the people as they are really. You will see, out of the hundreds or even thousands who pass you, many will have a smile on their face. One or two may even smile at you too.
If you realize one thing, it has to be this. Everyone is struggling with one thing or the other. There they are even with their struggles, going towards a purpose,an idea that they think will bring a change in life or keep their life from falling apart. Some positive thinking, among the relentless negativity that surrounds each one.
Those who smile and look at the world for inspiration, motivation and calmness they will get it. First smile at yourself.
The solution to your sadness(not your infatuation) is to think about the countless others who have such infatution and how they are leading their life. You will feel a strange calm comes to you. Think good for those suffering like you, your suffering reduces. The more you think new ideas will come and who knows your new purpose might emerge..
Keep your head up and take the next step. Great day."
88,https://www.quora.com/I-have-to-write-a-program-as-a-part-of-my-undergraduate-studies-and-Im-really-interested-in-machine-learning-and-neural-networks-I-want-to-keep-it-simple-but-useful-Any-ideas/answer/Kamal-Raj-17,15,–,www.quora.com,I-have-to-write-a-program-as-a-part-of-my-undergraduate-studies-and-Im-really-interested-in-machine-learning-and-neural-networks-I-want-to-keep-it-simple-but-useful-Any-ideas,"Here are couple of projects that I have been thinking, which uses NLP libraries.
Many of these projects you can find open source datasets available with google bigquery public datasets. The data may not be directly available. You might have to do some SQL querying, and cleanup. That in itself can be a project.
All the very best…"
90,https://www.quora.com/Its-been-1-year-that-I-have-been-working-as-a-software-engineer-I-work-on-developing-Python-code-and-a-little-bit-on-machine-learning-How-do-I-improve-my-career-Should-I-do-any-certification/answer/Kamal-Raj-17,27,1,www.quora.com,Its-been-1-year-that-I-have-been-working-as-a-software-engineer-I-work-on-developing-Python-code-and-a-little-bit-on-machine-learning-How-do-I-improve-my-career-Should-I-do-any-certification,"Python is the swiss army knife that anybody can weild safely and reduce their workload drastically. Solve a real world problem that you have.
How about automating the tasks that you are doing now with python. Think about the repetitive things you do.
Data collection
Visualisation
Folding, Training and testing
All the above tasks will involve many systems and teams in your organisation. You need to find way to work in the system and still free up your time.
In parallel work on entirely new area of machine learning like reinforced learning, NLP etc. Learning the method to collect the data outside your orgainisation.
All this is possible, with libraries in Python.
Coming to your question. Once you do the above, you will start seeing challeges in many automation ideas that you want to execute. You will start reading many books, and understand howe other hackers are coding and automating.
You see where this is going? This is how every billion dollar tech company was created. The product that the founder created is the product that he wanted. Whether it is Brin and Sergey, N. Tesla, Musk, Mark, Jobs or Gates, it is same story.
Take charge and have a wonderful transition from just a programmer to uber hacker."
92,https://www.quora.com/CBSE-has-introduced-AI-artificial-intelligence-as-part-of-its-curriculum-in-standard-9-What-could-be-some-of-the-basic-projects-done-by-students/answer/Kamal-Raj-17,82,–,www.quora.com,CBSE-has-introduced-AI-artificial-intelligence-as-part-of-its-curriculum-in-standard-9-What-could-be-some-of-the-basic-projects-done-by-students,"Natural language programming, Reinforced Learning and Computer vision or three areas that you need to concentrate. Before that…
Project you need to do is,
Watch a lot of videos on mathematical problem solving and document the type of problems and their solutions.
Play lot of video games that have AI characters. Halo series and portal series are very interesting. There is invisible by Klei, Mass effect series, and Guardians of galaxy. Your imagination has to be primed first.
Read up the Robot series and Foundation series by issac Asimov. Any AI or Robot developer should dip into the contribution of Asimov(You will understand why Elon Musk decided to Colonise Mars)
Solve lot of puzzles and again document the interesting solutions.
As a side project follow couple of important companies Deep mind, Open Ai, Two minute papers etc…
You will come up with lot of project ideas and problems to solve once you do the above. Then what?
Python language is your go to choice. There are ways to learn this language visually. Any thing you learn needs to useful in this world. It can break the world or make the world, but it needs to do something. You need to visualise the solution first.
That is why I ask to play games. They help to visualise the solution. Games have immense impact on your imagination. AI needs lot of imagination and visualisation to understand and then use it creatively.
Next take the programs written by others, copy it in VSCode (the best IDE out there, all hackers and programmers use it, and it is super easy) and try to execute and check the output. You can get lot of books and courses apart from those thought at school. Read the books like a novel. Apply the programs and try to visualise what kind of solution the author of the book has preferred. Document the ideas.
Visualise what the computer did to get that output. I repeat this. This is important because computer will follow set of rules to solve a problem. You need to work with that rules. This takes visualising, time, practice, taking ideas from others and sharing new ideas.
This is the best part of learning to program and working with AI. You spend so much time trying to understand your computer, that you can find ways to make it think for itself. Even though it is thinking in numbers.
Remember Visualising is a big part in AI and programming. Have a great future. Take one step at a time."
94,https://www.quora.com/Why-will-data-and-artificial-intelligence-transform-the-future/answer/Kamal-Raj-17,9,–,www.quora.com,Why-will-data-and-artificial-intelligence-transform-the-future,"Future is already here. If you ask whether AI came first or the future no one can answer.
There are countless claims on how AI has helped to creat the future. I have a simple and logical reason. AI lets you to visualise the impact of a random factor on a particular outcome.
Take an example of Car. We all have travelled in it. Recently with Uber and Ola the number of people who could travel increased drastically. instead of owning a car, renting a car is making more sense atleast in some cities. This was possible because the location of the cab and the rider could be automatically linked.
If it needs to be done in traditonal rule based programming then the lines of code required will be very large. For every product which needs connectivity with the customer the code needs to be repeated. All this repetition has been removed by AI abstraction.
Still there is lot of code, but now anybody can use it replicate their own product. This is a phenomenal change in how the world works and coding is done. This is possible only becaure of notonly AI but the entire ecosystem that formed around it.
Then there is Data. Today the Code itself has become data. The way the syntax and the algorithm is implemented can be seen as a pattern by the AI neural nets. Without that AI cannot be useful. Even the power of computing will not be able to surpass the importance of the Data. Unlike computing a scarce resource the Data is created evert second.
With the data, the pattern matching and the rule generation in programming is automated. To answer your question, that is why AI and so called “future” is here today. Use it to live and code happily."
95,https://www.quora.com/Is-it-worth-it-to-learn-Java-in-2022-despite-having-Python-and-Go-type-programming-languages-in-the-market/answer/Kamal-Raj-17,72,–,www.quora.com,Is-it-worth-it-to-learn-Java-in-2022-despite-having-Python-and-Go-type-programming-languages-in-the-market,"Every Language has its benefits, for Java it is the security it offers with object oriented programming. Much of the banking backend security is done using java only.
Python is good in simplifying automation at user level. Security is not compromised, but python will need additional code and care to implement security and proper testing is done.
Go ahead learn the language, you will be able to pickup Python with ease if you can learn Java.."
96,https://www.quora.com/Can-a-computer-solve-a-reCAPTCHA/answer/Kamal-Raj-17,52,–,www.quora.com,Can-a-computer-solve-a-reCAPTCHA,"Yes it can solve. You can use Python, Tensorflow models that are pretrained on numbers and letters and guess the best translations of the captcha and use it.
My question is what made you curious to ask this question?
The AI research has crossed the simple captchas and taken on much difficult tasks to solve the real world challenges like detecting cancer cells, detecting the places of interest with the pics..
Take a look at some of the research in AI that is posted by tensorflow and pytorch community."
97,https://www.quora.com/Who-is-the-best-teacher-for-learning-artificial-intelligence-online/answer/Kamal-Raj-17,133,1,www.quora.com,Who-is-the-best-teacher-for-learning-artificial-intelligence-online,"YOU
This is one feild where there is so many things you need to learn, from simple algebra to some time very complex transformation that involves multiple dimensions.
Only you can teach yourself. Teachers can only show that, such and such things can be done. Then you use your imagination to build further."
99,https://www.quora.com/What-is-the-order-in-which-I-should-learn-programming-language-as-a-beginner/answer/Kamal-Raj-17,18,–,www.quora.com,What-is-the-order-in-which-I-should-learn-programming-language-as-a-beginner,"simply start with a repetitive task that you want to automate. It could be inside the computer, or on the internet or outside in real world.
then begin by listing the steps for doing the activity.
you will start seeing some activities have dependencies, others you have no knowledge, still others that can be done by using some form of physical mecahanisms.
The above three steps art the problem identification stage. There are couple of steps more before you can start typing on your keyboard.The data structure and mechanism to collect data is decided. The algorithm to process is decided. All these steps are like solving puzzles.
Then you use the programming language that you know to code.
The order of learning to code starts by not learning to code but to sit and solve problems. Then try solving them differently with the data structures and algorithms others have used. Follow that by reading lots and lots of code written by others and identifying how they solved the problems.
The path to mastery may be convoluted. The journeyman decides to take the routes and try them. With Curiosity and child like enthusiasm. Have a great time with your learning journey…"
101,https://www.quora.com/Im-16-and-don-t-know-what-career-I-want-My-dad-wants-me-to-do-trades-but-I-m-not-sure-I-want-to-do-that-and-be-stuck-without-education-What-should-I-do/answer/Kamal-Raj-17,32,–,www.quora.com,Im-16-and-don-t-know-what-career-I-want-My-dad-wants-me-to-do-trades-but-I-m-not-sure-I-want-to-do-that-and-be-stuck-without-education-What-should-I-do,"Listen to your dad and join the trade of your dad. Yes I am telling you this because you can learn about people, places and things that no college or school will teach. Take his guidance but build your own vision for the business…
ONE Condition Do Not Marry. Have a girlfriend if you have the looks and charm. If not then purely concentrate on working your trade or learning new things
See you can enter into anything where you will have time to learn and explore new things. When you take on marriage and start a family then you will get stuck.
Where you Learn is not important. When you know how to deal with people. then you can teach others. Aspire to become so good at your trade that Biz school calls you for taking class..Remember the Great Lallu Prasad Yadav. He was called by IIMs to teach how he turned around Indian Railways.
You have to learn upto under graduate using distance courses. Remember that. Knowledge is power. Also use online courses that free from many universities. The Idea of asking you to join your dad’s trade is because, you will have time. Use it wisely.
All the best for your future and your family."
102,https://www.quora.com/Which-is-better-a-BSc-in-programming-and-data-science-from-IIT-Madras-or-a-BTech-in-Data-Science-from-Manipal-University-Which-degree-will-be-having-a-high-scope-and-salary-in-the-future/answer/Kamal-Raj-17,41,1,www.quora.com,Which-is-better-a-BSc-in-programming-and-data-science-from-IIT-Madras-or-a-BTech-in-Data-Science-from-Manipal-University-Which-degree-will-be-having-a-high-scope-and-salary-in-the-future,"I have not been to IIT however from the friends who studied there, they talk about the intense competition and single minded approach towards success. That atmosphere itself can propel you forward and search for opportunities like a Hacker. Hacker who is always ready to contribute…
Even though programming is more important, ability to understand the theory behind the datascience calls for a full undergraduate course and the rigour it brings with it. Manipal can offer you that for sure. You will become an engineer by heart. Engineer who loves to build things.
So there you see the two routes and where they will lead you. All the very best"
104,https://www.quora.com/As-a-beginner-with-a-commerce-background-where-do-I-start-from-in-order-to-learn-Artificial-Intelligence/answer/Kamal-Raj-17,116,–,www.quora.com,As-a-beginner-with-a-commerce-background-where-do-I-start-from-in-order-to-learn-Artificial-Intelligence,"Start with entry level course on python. Try to understand how programming solves some basic problems with numbers, arithemetics and algebra. You will also get introduced to simple data structures like lists, dictionaries.
Then you can try automating some of your commerce problems in python. Take simple ones, that you can easily write with python syntax. Then make use of that program and create a function that you can call with different input values.
This is the point where you can think about the machine learning or artificial intelligence. The domain has many practitioners and experts. They contribute by creating libraries, blogs, books and tutorials that you can read and try implementing.
As you practice this way, you will also come across many resources, that you can learn from. Sthrt slow and steadily progress…"
106,https://www.quora.com/Can-I-master-Al-ML-deep-learning-cyber-security-etc-without-going-to-college/answer/Kamal-Raj-17,86,–,www.quora.com,Can-I-master-Al-ML-deep-learning-cyber-security-etc-without-going-to-college,"Yes you can
If you are young then better go to college, there are other benefits of being with likeminded guys and girls. That part of your life is a gift to cherish. Now I am done with that so getting down to business…
The college provides you all the necessary courses, and provides you exam and teachers to train you. When you do it yourself then, you have to find alternate for the teachers, exams and a way to train.
Teachers are easy to replace. Online courses give you the necessary teachers. Exam is also easy to replace by attending the certification exams or online examination sites.
Way to train is most difficult to replace. Training means not just repeating what is in the book or course. It means able to use your knowledge in real life scenario. This takes lot of effort and time. This effort you will put in college too, but there you will be paying for doing it. Here you will do it with WILL power.
Then there is the material that you train on. This is another challenge that you will encounter. This can be sorted out by exploring both online and offline books stores and libraries. I prefer http://z-librar
y.org. You can explore lot of books and choose the one to practice or 10, if you want.
That is how I have been learning to program, understand AI and ML. The knowledge and ability to imagine rapidly increases. The self confidence builds up. The world seems to be easier place to live. On top of it all there is no debt to repay to banks…
That is just the start. Get ready to really hack your way to the top. It is possible…"
108,https://www.quora.com/Which-Apple-laptop-will-be-the-best-for-deep-learning-and-testing-AI-models/answer/Kamal-Raj-17,306,1,www.quora.com,Which-Apple-laptop-will-be-the-best-for-deep-learning-and-testing-AI-models,"Buy a laptop that is powerful and runs on linux for easy setup of the work environment. There are many libraries and modules that will need to access your processor and work with the RAM closely.
Mac is not very friendly at that level of access. There will be pesky problems, and you will spend more time correcting the setup rather than working on deep learning.
Btw there are many open platforms like kaggle where you can use their processing power from your laptop. if you plan to do that then, go for MAC."
109,https://www.quora.com/Have-highly-creative-individuals-developed-robust-whole-brain-connectivity-that-allows-them-to-connect-the-dots-between-many-neural-networks/answer/Kamal-Raj-17,72,–,www.quora.com,Have-highly-creative-individuals-developed-robust-whole-brain-connectivity-that-allows-them-to-connect-the-dots-between-many-neural-networks,"Creativity has become a surplus commodity and everywhere you turn today there is some of creativity. Creative individual and the brain of non creative individual is same at the level of hard-ware. Even the most brilliant Dali or Leonardo had same brain like you and me. All over brain is fully connected, as the brain scientists proved many times.
What is different then? Their Habit, Characters and their way of training the, so called creative brain. Like a muscle, they use the brain, feed it and cherish it. They inspire that brain constantly with stimulation. Then know how to shut down the chatter of anxiety and harmones to really listen to what it says.
The idea that creative people need to be famous is another challenge this “getting things done” society has gotten us into. Many creative guys start many projects and abandon them if they are not interested. They are very specific in using their time differently.
Whether Tesla, Leonardo or mordern day Musk or Mark, all do things with their own time. They want the time to be theirs and not to be sold for a salary. This is again not how the brain is connected. How it steers towards spreading its ideas and memes more.
The discussion on creativity is very deep and brain is only a small part of it. Have awe for Creativity. It is outside the Brain."
110,https://www.quora.com/What-is-the-use-of-artificial-intelligence-and-robotics-in-the-healthcare-industry/answer/Kamal-Raj-17,74,1,www.quora.com,What-is-the-use-of-artificial-intelligence-and-robotics-in-the-healthcare-industry,"Deep learning and Reinforced learning has been used extensively by Deep Mind recently, to win CASP competition. The Protien Folding competition. The end result of this competiton is to get sonution to find how protien forms complex organisms. This is revolutionising the healthcare industry.
The idea of protien folding is converted into a game, and the AI name AlphaFold was created. The solution accuracy was less than 80% for long time, and with advent of Deep Learning the breakthrough was achieved.
Even the Corona protien was given in the competition, and the folding was predicted with high accuracy. The techhology used is not just the Deep learning, but the ingenuity of the team working at Deep Mind played major role in using the AI learning patterns for effective problem solving
What it means to Humanity? Longer life, pleasant environment, and more leisure and wealth? Hmm, it is all possible in how the technology is used."
112,https://www.quora.com/What-is-AlphaCode-and-why-are-programmers-afraid-of-it/answer/Kamal-Raj-17,21,–,www.quora.com,What-is-AlphaCode-and-why-are-programmers-afraid-of-it,"Who really has to be afraid is School students and not well trained hackers, coders and programmers.
Take a look at the above github repo where the actual alphacode program is shared with the world. The entire code and the internal workings of the logic can be learnt by any one who is ready to spend time and think. That is all it takes to overcome the AI.
The test platform bezel and the gsutil provided by google can be downloaded by anyone with a intenet and ability to read. So all this even entry level programmers can do. Those experienced will directly fork the github and start expermenting.
There are couple of tangential application to this AI. Suppose AI can write the mails that you type to clarify the problem your customer has
When you pose a problem that you are facing, the AI can literally score thru quora and provide list of solutions. This is same as coding, and the idea used in creating the Alphacode may be used by hacking the code.
This way of making one idea into another is the simple but effective way we humans and more importantly coders and hackers will be on top of the food chain."
115,https://www.quora.com/Is-Machine-learning-used-in-medicine-Feeding-the-model-1000s-of-images-of-cancer-and-tumors-The-machine-would-be-able-to-locate-it-from-past-pictures-and-tell-you-what-it-thinks-it-is-in-terms-of-cancer-and-what/answer/Kamal-Raj-17,9,–,www.quora.com,Is-Machine-learning-used-in-medicine-Feeding-the-model-1000s-of-images-of-cancer-and-tumors-The-machine-would-be-able-to-locate-it-from-past-pictures-and-tell-you-what-it-thinks-it-is-in-terms-of-cancer-and-what,"Yes it is used. But not by feeding pictures…. It is more advanced.
Deep learning and Reinforced learning has been used extensively by Deep Mind recently, to win CASP competition. The Protien Folding competition.
The idea of protien folding is converted into a game, and the AI name AlphaFold was created. The solution accuracy was less than 80% for long time, and with advent of Deep Learning the breakthrough was achieved.
Even the Corona protien was given in the competition, and the folding was predicted with high accuracy. The techhology used is not just the Deep learning, but the ingenuity of the team working at Deep Mind played major role in using the AI learning patterns for effective problem solving
What it means to Humanity? Longer life, pleasant environment, and more leisure and wealth? Hmm, it is all possible in how the technology is used."
117,https://www.quora.com/How-do-you-get-into-Deep-Learning-in-practice-Im-18-but-Im-afraid-books-and-online-courses-wont-be-enough-to-start-working-on-my-own-projects-art-and-music-generation-Im-kind-of-lost-on-Kaggle-Could-you-help-me/answer/Kamal-Raj-17,83,–,www.quora.com,How-do-you-get-into-Deep-Learning-in-practice-Im-18-but-Im-afraid-books-and-online-courses-wont-be-enough-to-start-working-on-my-own-projects-art-and-music-generation-Im-kind-of-lost-on-Kaggle-Could-you-help-me,"I was in similar situation and bit lost in kaggle. After 12 months of practice, completing all the kaggle courses, see the outcome below. You can see the associated kaggle notebook, here
The charts shows the story, and it was possible by python, and kaggle notebook. Before this 12 month of practice, I was also lost for 2 years….
So what clicked???
The solution is simple. Head to Kaggle courses page and start one course at a time. No pressure.. Go steadily and learn the chapters, and enjoy the following code exercises and getting simple answers first. You have to spend time in figuring out the correct answers, before you check their hints and solutions. (Avoid the urge to complete the exercises and move forward, I did that the first time and got lost completely)
You have to read up on the related books on the course. For example, the intro course is on Python. When you complete the course, take Python for dummies kind of book and go thru it. You will see some points you learnt in the course come in the book and explained with new example.
When you do this, you will start connecting the dots and start trying out new things with python. Then move to the next course. Do the same. Give Yourself 3 months to finish the courses. Steadily, you will start understanding the Language and the Platform. Imagination is the key here. Thinking how the concepts you are learning can be applied in real world problems, as you go through the courses is important.
If you are wondering where to get all the books, then head to Z-Library. The world's largest ebook library.
This site has every book that a aspiring teenager needs. All you need is a smartphone with big screen, and good internet connectivity. I am sure, you have these two available.
By the end of 6 months you would have read atleast 100 different books and have done lot of exercises. You will have your fav books too. That point, you can look at related things like Git, software engineerig, Data structures and read more on them specifically. All this time you will be practicing it too.
This is the way to move forward, and as you see there is lot of practicing, reading and typing involved. To get through all this, you need to have the inspiration. Motivation will take you only to some distance, the rest is covered by your inner image of what you really want to become by using the coding skils.
For me Inspiration is Nikola Tesla, and the Warren Buffett. They have given their entire lives to find how certain aspect of this reality works, and shared it with the world. Whenever I find myself lost during the practice, or in the early morning feeling tired to wake up, it is the inspiration to share my findings, and knowledge that wakes me up.
The solution works and in process makes you confident, and creative. Able to provide answers, and ideas is very empowering. All the very best for your journey. Kagglers, and the Python community, Stackoverflow are there to help when you are stopped by errors. Before asking support, google your error and see if there is solution already and try it out. Yep, that is all you need to know..
Have a great journey.. see you the other side!!!!"
